Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7 25V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",62.000000,-38.000000,-90.000000,top
"C2","100n 50V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.000000,-38.000000,-90.000000,top
"C3","10u 25V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",82.000000,-44.000000,-90.000000,top
"C4","100n 50V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.000000,-44.000000,-90.000000,top
"C5","2u2 16V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",100.000000,-87.500000,0.000000,top
"C6","22u 10V X5R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",109.500000,-80.500000,-90.000000,top
"C7","100n 50V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",109.500000,-85.000000,-90.000000,top
"C8","10u 16V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.000000,-81.600000,90.000000,top
"C9","100n 50V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,-81.600000,90.000000,top
"C10","100n 50V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.000000,-70.500000,0.000000,top
"C11","100n 50V X7R","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",58.000000,-73.000000,90.000000,top
"D1","USBLC6-2SC6","SOT-23-6_Handsoldering",54.000000,-50.000000,0.000000,top
"D2","LED rot","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.000000,-38.000000,0.000000,top
"D3","B5819W","D_SOD-123",98.000000,-44.000000,0.000000,top
"D4","LED gruen","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.000000,-70.000000,0.000000,top
"F1","500 mA PTC","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.000000,-38.000000,0.000000,top
"J1","USB-C-Breakout 16P","PinHeader_1x06_P2.54mm_Vertical",43.500000,-38.000000,0.000000,top
"J2","LiPo 1S 500 mAh","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",106.000000,-38.000000,0.000000,top
"J3","OLED SSD1306 SPI","JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical",114.000000,-86.000000,90.000000,top
"J4","Arcade-Taster","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",34.000000,-85.000000,0.000000,top
"J5","Piezo CEP-1114","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",42.000000,-60.000000,0.000000,top
"R1","6k8","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.000000,-45.000000,0.000000,top
"R2","560R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.000000,-38.000000,0.000000,top
"R3","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.000000,-82.600000,180.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.000000,-70.500000,0.000000,top
"R5","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.000000,-79.900000,0.000000,top
"R6","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",91.000000,-78.400000,0.000000,top
"R7","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.000000,-76.900000,0.000000,top
"R8","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",91.000000,-75.400000,0.000000,top
"R9","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.000000,-73.900000,0.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.000000,-80.000000,0.000000,top
"R11","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.000000,-85.000000,0.000000,top
"R12","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.000000,-85.000000,0.000000,top
"R13","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",56.000000,-60.000000,0.000000,top
"R14","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.000000,-70.000000,0.000000,top
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",52.000000,-70.000000,0.000000,top
"R16","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.000000,-74.000000,0.000000,top
"R17","5k1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.000000,-44.000000,0.000000,top
"R18","5k1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.000000,-46.500000,0.000000,top
"SW1","Ein/Aus","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",102.000000,-52.000000,0.000000,top
"U1","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02_HandSolder",71.000000,-76.900000,180.000000,top
"U2","MCP73831T-2ACI/OT","SOT-23-5_HandSoldering",74.000000,-40.000000,0.000000,top
"U3","AP2112K-3.3","SOT-23-5_HandSoldering",104.500000,-81.500000,0.000000,top
